"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"SH","13","","","","9/5/2018 4:49:48 PM","9/5/2018 4:49:50 PM","","","","G:\63893\DET\3893_SN-1.dwg","SN-1 (30x42)","","","DWG To PDF.pc3","C:\Users\dngo\Desktop\asdf.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","13","","","","","9/5/2018 4:49:50 PM","","","","","","","","","","","","Plotted"
"JS","14","","","","9/5/2018 4:55:03 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","14","","","","9/5/2018 4:55:03 PM","9/5/2018 4:55:04 PM","","","","G:\63893\DET\3893_SN-1.dwg","SN-1 (30x42)","","","DWG To PDF.pc3","C:\Users\dngo\Desktop\abc.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","14","","","","","9/5/2018 4:55:04 PM","","","","","","","","","","","","Plotted"
"JS","15","","","","9/5/2018 4:56:26 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","15","","","","9/5/2018 4:56:26 PM","9/5/2018 4:56:28 PM","","","","G:\63893\DET\3893_SN-1.dwg","SN-1 (30x42)","","","DWG To PDF.pc3","C:\Users\dngo\Desktop\abcd.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","15","","","","","9/5/2018 4:56:28 PM","","","","","","","","","","","","Plotted"
"JS","1","","","","9/11/2018 3:27:59 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","1","","","","9/11/2018 3:27:59 PM","9/11/2018 3:28:00 PM","","","Unsaved Drawing1-Layout1","Drawing1.dwg","Layout1","","","DWG To PDF.pc3","C:\Users\dngo\Desktop\0798PL1X.pdf","ANSI expand A (8.50 x 11.00 Inches)","0","Plotted"
"JF","1","","","","","9/11/2018 3:28:00 PM","","","","","","","","","","","","Plotted"
"JS","1","","","","9/18/2018 5:29:20 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"JF","1","","","","","9/18/2018 5:29:20 PM","","","","","","","","","","","","Error(s) Did Not Plot","ERROR: There were no plottable sheets in the current operation. "
"JS","2","","","","9/18/2018 5:31:20 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","2","","","","9/18/2018 5:31:20 PM","9/18/2018 5:31:21 PM","","","","C:\Users\dngo\Desktop\3693_Sale Office.dwg","Layout1","","","AutoCAD PDF (High Quality Print).pc3","C:\Users\dngo\Desktop\3693_Sale Office-Layout1.pdf","ANSI full bleed A (8.50 x 11.00 Inches)","0","Plotted"
"JF","2","","","","","9/18/2018 5:31:21 PM","","","","","","","","","","","","Plotted"
"JS","3","","","","9/18/2018 5:35:56 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","3","","","","9/18/2018 5:35:56 PM","9/18/2018 5:35:56 PM","","","","C:\Users\dngo\Desktop\3693_Sale Office.dwg","Layout1","","","\\ge-fs1\TOSHIBA e-STUDIO556 PCL6 37","","Letter","0","Plotted"
"JF","3","","","","","9/18/2018 5:35:56 PM","","","","","","","","","","","","Plotted"
"JS","4","","","","9/18/2018 5:36:18 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","4","","","","9/18/2018 5:36:18 PM","9/18/2018 5:36:19 PM","","","","C:\Users\dngo\Desktop\3693_Sale Office.dwg","Layout1","","","\\ge-fs1\TOSHIBA e-STUDIO556 PCL6 37","","Letter","0","Plotted"
"JF","4","","","","","9/18/2018 5:36:19 PM","","","","","","","","","","","","Plotted"
"JS","5","","","","9/18/2018 5:37:37 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","5","","","","9/18/2018 5:37:37 PM","9/18/2018 5:37:38 PM","","","","C:\Users\dngo\Desktop\3693_Sale Office.dwg","Layout1","","","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Desktop\MMEEE.pdf","ANSI expand A (8.50 x 11.00 Inches)","0","Plotted"
